month,mkt_par_lb,mkt_n_trades,mkt_share_rpt,mkt_px_std_daily
200207,61830792755,138333,0,1.1643037229
200208,58469039797,165421,0,1.084984278
200209,55163415041,147901,0,0.9889155433
200210,73939964255,200438,0,1.0545457149
200211,50600760677,142588,0,0.9745815753
200212,44528311127,126611,0,0.8789888765
200301,68643933353,170447,0,0.8320039827
200302,52937372566,146721,0,0.892305335
200303,90577962348,251900,0,0.9036947316
200304,95088150521,243308,0,0.8444369347
200305,89208630996,225454,0,0.8812795149
200306,87828026006,222641,0,0.8518746532
200307,91558119774,240292,0,0.7887733223
200308,77026331500,220372,0,0.8028286699
200309,86971832149,215663,0,0.7475802601
200310,96417989651,225792,0,0.7070998619
200311,66770379654,179171,0,0.7557217051
200312,68238570163,193958,0,0.6802606364
200401,78560758081,196404,0,0.6892734129
200402,73311597037,181635,0,0.6616138621
200403,82119357593,208312,0,0.6518342226
200404,74878492453,194787,0,0.6393126277
200405,72694397248,201344,0,0.6606934399
200406,68607279797,216244,0,0.6442836433
200407,72244083516,216413,0,0.5923577324
200408,66121868786,200425,0,0.6016675442
200409,70601646542,181467,0,0.566786133
200410,116292505090,366830,0,0.7055577504
200411,105510753615,383243,0,0.6901784563
200412,97544323345,393561,0,0.6811737397
200501,122780801969,439684,0,0.6684460179
200502,118377508366,426282,0,0.6464200441
200503,145719528051,549687,0,0.6751323159
200504,131805169710,502761,0,0.7405631867
200505,130843480878,510489,0,0.7381161908
200506,119893065799,470828,0,0.6574358038
200507,97630033322,381852,0,0.6319048477
200508,93993247812,414439,0,0.6371517895
200509,104333379532,400288,0,0.6459711122
200510,103804786463,423658,0,0.7015737623
200511,99341211364,432543,0,0.7190550799
200512,83658628216,439746,0,0.7946427121
200601,117717121661,448178,0,0.6570063131
200602,101086046291,402001,0,0.6248061865
200603,115793624796,476038,0,0.6001182713
200604,95068061015,390782,0,0.5906964418
200605,111514315102,426405,0,0.5786279351
200606,101543634182,403657,0,0.5973572069
200607,84998459625,348709,0,0.6148732226
200608,95830973582,407722,0,0.5937781
200609,102148467483,391713,0,0.5885658372
200610,114776261542,421207,0,0.5776554415
200611,105817372260,411765,0,0.67248885
200612,83199054154,373251,0,0.5781789
200701,114771444910,438305,0,0.6129455149
200702,96128901417,369477,0,0.5757997074
200703,113187979888,398792,0,0.5901779445
200704,96021512538,357964,0,0.6041287422
200705,100291509652,401935,0,0.6070355165
200706,95620112793,394173,0,0.6383453058
200707,86253111530,347302,0,0.6453140381
200708,88882690981,367669,0,0.7556176554
200709,89362095405,359017,0,0.6521818626
200710,101990574534,386704,0,0.6212527059
200711,82206347645,346935,0,0.7646796454
200712,77964114144,353264,0,0.769178858
200801,116278338973,463527,0,0.7585381717
200802,104091471180,455297,0,0.7138424891
200803,99133160234,429520,0,0.8066071291
200804,115675693058,480773,0,0.7584000375
200805,106126332963,472277,0,0.7113264385
200806,97662428819,455902,0,0.7111241962
200807,91645991727,467296,0,0.7785514666
200808,75359985369,440971,0,0.7254445336
200809,98409427057,496556,0,1.0729480973
200810,114913888811,639401,0,1.3276674067
200811,95937888799,575874,0,1.114337995
200812,110264871966,661207,0,1.151587755
200901,137771889077,783436,0,1.066185366
200902,133178703334,759391,0,0.9999531864
200903,147222208334,931809,0,1.1767999784
200904,156416532883,957158,0,1.0349134479
200905,159742055791,928896,0,1.0141030239
200906,169726270943,957801,0,0.9118468429
200907,159455793296,973620,0,0.9219152738
200908,142982015647,862131,0,0.9157033706
200909,159869477334,883978,0,0.8759332108
200910,160294117687,886425,0,0.752125069
200911,123034686802,723351,0,0.7612620753
200912,128607878792,759958,0,0.7532648416
201001,146775738542,767924,0,0.7252483475
201002,137974453107,780892,0,0.7071114964
201003,173496345509,960921,0,0.6635646849
201004,152862398128,839977,0,0.6624526037
201005,145332987028,770480,0,0.7167378404
201006,159554380137,889208,0,0.6800814806
201007,143604529202,808316,0,0.6499743799
201008,148723354703,905160,0,0.6946517665
201009,164928814100,872138,0,0.7440934469
201010,156300809774,844932,0,0.590534414
201011,136423518190,771112,0,0.6271325143
201012,130233031892,776190,0,0.5800603795
201101,162219630944,812445,0,0.6497234048
201102,157414024947,801913,0,0.6210402919
201103,179141077455,916200,0,0.6297422404
201104,138605134940,737865,0,0.553773634
201105,140189008304,757749,0,0.5205278804
201106,158166515066,799126,0,0.6478982325
201107,133891762417,655393,0,0.5902118283
201108,164497283659,814894,0,0.7374134403
201109,150956687483,755806,0,0.656162754
201110,157496917490,796857,0,0.6934808034
201111,144955526320,769074,0,0.679275064
201112,126773971115,740065,0,0.6598242099
201201,179713654214,879359,0,0.6546266869
201202,30966250701,135728,0,0.5700896853
